date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:46	295/295	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Nov%202024%2009:16:46%20GMT	http://localhost/robots.txt		(from )
16:16:50	101833/101833	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202024%2009:16:46%20GMT	http://localhost/jurnal%20afisena/	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/index.html	(from )
16:16:50	112427/112427	---M--	200	added ('OK')	text/css	etag:%221b72b-6214df487c1c0%22	http://localhost/jurnal%20afisena/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/wp-includes/css/dist/block-library/style.min109c.css	(from http://localhost/jurnal%20afisena/)
16:16:51	18432/18432	---M--	200	added ('OK')	text/css	etag:%224800-624b04306c3be%22	http://localhost/jurnal%20afisena/wp-content/themes/blogprise/assets/lib/swiper/swiper-bundle.min.css?ver=6.6.2	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/wp-content/themes/blogprise/assets/lib/swiper/swiper-bundle.min109c.css	(from http://localhost/jurnal%20afisena/)
16:16:51	742/742	---M--	200	added ('OK')	application/rss+xml	etag:%22e36eee646b9fba4612b894022b3a5c6c%22	http://localhost/jurnal%20afisena/?feed=comments-rss2	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/indexa6da.html	(from http://localhost/jurnal%20afisena/)
16:16:51	238944/238944	---M--	200	added ('OK')	text/css	etag:%223a560-624b0430b0a4a%22	http://localhost/jurnal%20afisena/wp-content/themes/blogprise/style.css?ver=1.0.3	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/wp-content/themes/blogprise/style4bf4.css	(from http://localhost/jurnal%20afisena/)
16:16:53	29051/29051	---M--	200	added ('OK')	text/css	etag:%22717b-624b0aef159fa%22	http://localhost/jurnal%20afisena/wp-content/fonts/89f4a2c9cd7f7098e4e349c10b680d0c.css	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/wp-content/fonts/89f4a2c9cd7f7098e4e349c10b680d0c.css	(from http://localhost/jurnal%20afisena/)
16:16:54	878/878	---M--	200	added ('OK')	text/xml	date:Fri,%2001%20Nov%202024%2009:16:53%20GMT	http://localhost/jurnal%20afisena/xmlrpc.php?rsd	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/xmlrpc0db0.php	(from http://localhost/jurnal%20afisena/)
16:16:57	26411/26411	---MC-	200	added ('OK')	application/rss+xml	etag:%22e36eee646b9fba4612b894022b3a5c6c%22	http://localhost/jurnal%20afisena/?feed=rss2	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/indexd784.html	(from http://localhost/jurnal%20afisena/)
16:16:57	13228/13228	---M--	200	added ('OK')	image/png	etag:%2233ac-624b0b4dcff88%22	http://localhost/jurnal%20afisena/wp-content/uploads/2024/10/tittle.png	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/wp-content/uploads/2024/10/tittle.png	(from http://localhost/jurnal%20afisena/)
16:17:05	102769/102769	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202024%2009:16:57%20GMT	http://localhost/jurnal%20afisena/?p=38	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/indexb93f.html	(from http://localhost/jurnal%20afisena/)
16:17:05	89900/89900	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202024%2009:16:57%20GMT	http://localhost/jurnal%20afisena/?cat=2	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/index3f7b.html	(from http://localhost/jurnal%20afisena/)
16:17:09	89734/89734	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202024%2009:17:05%20GMT	http://localhost/jurnal%20afisena/?author=1	D:/Web%20Development/HTtrack(eksport%20from%20wordpress)/jurnal%20afisena/localhost/jurnal%20afisena/indexcd64.html	(from http://localhost/jurnal%20afisena/)
